{'loss': 11.6999, 'grad_norm': 2830930.75, 'learning_rate': 0.0, 'epoch': 0.01}                                                                                              
{'loss': 12.33, 'grad_norm': 3031563.25, 'learning_rate': 4e-05, 'epoch': 0.02}                                                                                              
{'loss': 8.6312, 'grad_norm': 5001.4091796875, 'learning_rate': 8e-05, 'epoch': 0.02}                                                                                        
{'loss': 6.205, 'grad_norm': 1861.09375, 'learning_rate': 0.00012, 'epoch': 0.03}                                                                                            
{'loss': 4.1419, 'grad_norm': 503.8340148925781, 'learning_rate': 0.00016, 'epoch': 0.04}                                                                                    
{'loss': 3.1559, 'grad_norm': 243.01980590820312, 'learning_rate': 0.0002, 'epoch': 0.05}                                                                                    
{'loss': 2.7655, 'grad_norm': 179.00074768066406, 'learning_rate': 0.0001995959595959596, 'epoch': 0.06}                                                                     
{'loss': 2.2569, 'grad_norm': 86.51002502441406, 'learning_rate': 0.0001991919191919192, 'epoch': 0.07}                                                                      
{'loss': 1.6782, 'grad_norm': 68.45121765136719, 'learning_rate': 0.00019878787878787878, 'epoch': 0.07}                                                                     
{'loss': 1.549, 'grad_norm': 98.78192901611328, 'learning_rate': 0.00019838383838383837, 'epoch': 0.08}                                                                      
{'loss': 1.3106, 'grad_norm': 75.17120361328125, 'learning_rate': 0.000197979797979798, 'epoch': 0.09}                                                                       
{'loss': 1.0139, 'grad_norm': 54.6465950012207, 'learning_rate': 0.0001975757575757576, 'epoch': 0.1}                                                                        
{'loss': 1.1701, 'grad_norm': 41.0928840637207, 'learning_rate': 0.0001971717171717172, 'epoch': 0.11}                                                                       
{'loss': 0.8021, 'grad_norm': 23.015522003173828, 'learning_rate': 0.00019676767676767677, 'epoch': 0.11}                                                                    
{'loss': 0.768, 'grad_norm': 23.097225189208984, 'learning_rate': 0.00019636363636363636, 'epoch': 0.12}                                                                     
{'loss': 0.9066, 'grad_norm': 24.092424392700195, 'learning_rate': 0.00019595959595959596, 'epoch': 0.13}                                                                    
{'loss': 0.9811, 'grad_norm': 30.411157608032227, 'learning_rate': 0.00019555555555555556, 'epoch': 0.14}                                                                    
{'loss': 0.7308, 'grad_norm': 25.86570167541504, 'learning_rate': 0.00019515151515151516, 'epoch': 0.15}                                                                     
{'loss': 0.5741, 'grad_norm': 12.02834701538086, 'learning_rate': 0.00019474747474747476, 'epoch': 0.16}                                                                     
{'loss': 0.4648, 'grad_norm': 14.058672904968262, 'learning_rate': 0.00019434343434343435, 'epoch': 0.16}                                                                    
{'loss': 0.4916, 'grad_norm': 16.18784523010254, 'learning_rate': 0.00019393939393939395, 'epoch': 0.17}                                                                     
{'loss': 0.5626, 'grad_norm': 14.109938621520996, 'learning_rate': 0.00019353535353535355, 'epoch': 0.18}                                                                    
{'loss': 0.3631, 'grad_norm': 17.641868591308594, 'learning_rate': 0.00019313131313131315, 'epoch': 0.19}                                                                    
{'loss': 0.7515, 'grad_norm': 23.355152130126953, 'learning_rate': 0.00019272727272727274, 'epoch': 0.2}                                                                     
{'loss': 0.5541, 'grad_norm': 13.797576904296875, 'learning_rate': 0.00019232323232323232, 'epoch': 0.2}                                                                     
{'loss': 0.5298, 'grad_norm': 33.14252853393555, 'learning_rate': 0.00019191919191919191, 'epoch': 0.21}                                                                     
{'loss': 0.6011, 'grad_norm': 11.655839920043945, 'learning_rate': 0.0001915151515151515, 'epoch': 0.22}                                                                     
{'loss': 0.5404, 'grad_norm': 10.272161483764648, 'learning_rate': 0.00019111111111111114, 'epoch': 0.23}                                                                    
{'loss': 0.4327, 'grad_norm': 9.117572784423828, 'learning_rate': 0.00019070707070707073, 'epoch': 0.24}                                                                     
{'loss': 0.4757, 'grad_norm': 8.673218727111816, 'learning_rate': 0.0001903030303030303, 'epoch': 0.24}                                                                      
{'loss': 0.4638, 'grad_norm': 11.418984413146973, 'learning_rate': 0.0001898989898989899, 'epoch': 0.25}                                                                     
{'loss': 0.3941, 'grad_norm': 5.416667461395264, 'learning_rate': 0.0001894949494949495, 'epoch': 0.26}                                                                      
{'loss': 0.6091, 'grad_norm': 8.528889656066895, 'learning_rate': 0.0001890909090909091, 'epoch': 0.27}                                                                      
{'loss': 0.406, 'grad_norm': 8.541309356689453, 'learning_rate': 0.0001886868686868687, 'epoch': 0.28}                                                                       
{'loss': 0.4946, 'grad_norm': 7.655147075653076, 'learning_rate': 0.0001882828282828283, 'epoch': 0.29}                                                                      
{'loss': 0.4628, 'grad_norm': 8.289826393127441, 'learning_rate': 0.0001878787878787879, 'epoch': 0.29}                                                                      
{'loss': 0.4013, 'grad_norm': 7.380221843719482, 'learning_rate': 0.0001874747474747475, 'epoch': 0.3}                                                                       
{'loss': 0.3774, 'grad_norm': 5.2317986488342285, 'learning_rate': 0.0001870707070707071, 'epoch': 0.31}                                                                     
{'loss': 0.4213, 'grad_norm': 7.360825538635254, 'learning_rate': 0.0001866666666666667, 'epoch': 0.32}                                                                      
